customer_id,customer_name,gender,age,city,state,customer_segment,onboarding_date,kyc_status
C0001,Rahul Joshi,Male,64,Hyderabad,Telangana,Retail,2021-02-23,Verified
C0002,Saurabh Patel,Male,59,Mumbai,Maharashtra,Retail,2025-08-31,Verified
C0003,Manish Iyer,Male,49,Indore,Madhya Pradesh,Retail,2022-06-21,Verified
C0004,Priya Nair,Female,69,Indore,Madhya Pradesh,Retail,2022-05-31,Verified
C0005,Neha Verma,Female,23,Ahmedabad,Gujarat,Retail,2022-12-19,Verified
C0006,Ritika Verma,Female,57,Patna,Bihar,Retail,2024-01-21,Verified
C0007,Amit Sharma,Male,35,Kochi,Kerala,Retail,2020-11-22,Verified
C0008,Sandeep Khan,Male,43,Kolkata,West Bengal,Retail,2024-02-25,Verified
C0009,Rohan Joshi,Male,55,Patna,Bihar,Premium,2021-12-01,Verified
C0010,Vikram Reddy,Male,64,Ahmedabad,Gujarat,Retail,2022-06-18,Pending
C0011,Priya Iyer,Female,25,Bhopal,Madhya Pradesh,Retail,2023-01-01,Verified
C0012,Saurabh Joshi,Male,30,Pune,Maharashtra,Retail,2025-02-22,Verified
C0013,Anjali Iyer,Female,58,Indore,Madhya Pradesh,Retail,2024-10-20,Verified
C0014,Aisha Iyer,Female,28,Bengaluru,Karnataka,Retail,2020-07-11,Verified
C0015,Vikram Singh,Male,54,Ahmedabad,Gujarat,Retail,2025-04-01,Verified
C0016,Ritika Sharma,Female,70,Kochi,Kerala,Premium,2022-12-28,Verified
C0017,Neha Khan,Female,53,Ahmedabad,Gujarat,Retail,2022-12-14,Verified
C0018,Manish Verma,Male,59,Bhopal,Madhya Pradesh,Retail,2025-09-10,Verified
C0019,Vikram Gupta,Male,21,Nagpur,Maharashtra,Retail,2025-12-12,Pending
C0020,Kavya Sharma,Female,36,Delhi,Delhi,Corporate,2023-06-13,Verified
C0021,Arjun Mehta,Male,69,Delhi,Delhi,Retail,2020-10-10,Verified
C0022,Vikram Singh,Male,59,Kolkata,West Bengal,Corporate,2025-12-01,Verified
C0023,Sneha Das,Female,46,Nagpur,Maharashtra,Premium,2023-06-30,Verified
C0024,Kavya Das,Female,22,Kolkata,West Bengal,Retail,2023-10-16,Verified
C0025,Saurabh Iyer,Male,25,Mumbai,Maharashtra,Retail,2022-07-26,Verified
C0026,Karan Verma,Male,55,Jaipur,Rajasthan,Retail,2022-05-27,Verified
C0027,Saurabh Mehta,Male,33,Kolkata,West Bengal,Retail,2024-07-25,Verified
C0028,Amit Singh,Male,64,Ahmedabad,Gujarat,Retail,2020-08-09,Verified
C0029,Rahul Patel,Male,33,Indore,Madhya Pradesh,Retail,2022-10-15,Verified
C0030,Manish Reddy,Male,25,Bengaluru,Karnataka,Retail,2022-10-20,Verified
C0031,Ritika Verma,Female,26,Mumbai,Maharashtra,Premium,2020-03-01,Verified
C0032,Vikram Patel,Male,31,Kolkata,West Bengal,Retail,2020-08-28,Verified
C0033,Priya Patel,Female,48,Hyderabad,Telangana,Corporate,2023-03-14,Verified
C0034,Anjali Iyer,Female,68,Hyderabad,Telangana,Retail,2020-09-06,Verified
C0035,Priya Sharma,Female,31,Lucknow,Uttar Pradesh,Retail,2025-12-15,Pending
C0036,Manish Verma,Male,46,Bhopal,Madhya Pradesh,Retail,2022-08-21,Verified
C0037,Saurabh Iyer,Male,63,Lucknow,Uttar Pradesh,Retail,2024-09-13,Verified
C0038,Pooja Iyer,Female,29,Kochi,Kerala,Premium,2024-06-09,Verified
C0039,Kavya Gupta,Female,60,Patna,Bihar,Premium,2025-02-20,Verified
C0040,Amit Das,Male,25,Chennai,Tamil Nadu,Retail,2023-11-30,Verified
C0041,Karan Khan,Male,60,Bengaluru,Karnataka,Retail,2023-05-24,Verified
C0042,Manish Khan,Male,37,Patna,Bihar,Premium,2021-07-04,Pending
C0043,Amit Joshi,Male,66,Jaipur,Rajasthan,Retail,2022-05-12,Verified
C0044,Sneha Singh,Female,24,Kochi,Kerala,Premium,2022-10-25,Verified
C0045,Sandeep Khan,Male,31,Mumbai,Maharashtra,Retail,2022-12-08,Verified
C0046,Ritika Joshi,Female,55,Ahmedabad,Gujarat,Retail,2021-09-02,Verified
C0047,Karan Mehta,Male,44,Jaipur,Rajasthan,Retail,2023-06-16,Verified
C0048,Karan Iyer,Male,60,Kochi,Kerala,Retail,2024-07-22,Verified
C0049,Arjun Nair,Male,32,Nagpur,Maharashtra,Premium,2020-04-11,Pending
C0050,Meera Singh,Female,65,Bhopal,Madhya Pradesh,Premium,2021-10-14,Verified
C0051,Sandeep Sharma,Male,43,Bhopal,Madhya Pradesh,Retail,2025-02-28,Verified
C0052,Sneha Iyer,Female,25,Mumbai,Maharashtra,Premium,2023-02-15,Verified
C0053,Aisha Singh,Female,22,Jaipur,Rajasthan,Retail,2023-09-18,Rejected
C0054,Rohan Nair,Male,59,Lucknow,Uttar Pradesh,Corporate,2021-03-20,Verified
C0055,Aisha Joshi,Female,28,Nagpur,Maharashtra,Retail,2025-09-25,Verified
C0056,Shreya Iyer,Female,55,Hyderabad,Telangana,Retail,2025-10-30,Verified
C0057,Karan Patel,Male,63,Delhi,Delhi,Corporate,2023-07-09,Pending
C0058,Rohan Das,Male,56,Hyderabad,Telangana,Premium,2023-04-26,Verified
C0059,Arjun Patel,Male,60,Kochi,Kerala,Corporate,2021-12-13,Verified
C0060,Meera Das,Female,58,Bhopal,Madhya Pradesh,Retail,2024-10-26,Verified
C0061,Kavya Reddy,Female,63,Kolkata,West Bengal,Premium,2021-11-26,Verified
C0062,Rohan Das,Male,64,Kochi,Kerala,Retail,2022-08-20,Verified
C0063,Sneha Iyer,Female,60,Bengaluru,Karnataka,Retail,2025-04-30,Verified
C0064,Nikhil Patel,Male,52,Patna,Bihar,Retail,2024-04-21,Verified
C0065,Sneha Nair,Female,70,Kochi,Kerala,Premium,2021-03-12,Pending
C0066,Sneha Nair,Female,56,Nagpur,Maharashtra,Corporate,2020-07-24,Verified
C0067,Amit Reddy,Male,69,Bengaluru,Karnataka,Premium,2023-07-23,Verified
C0068,Shreya Joshi,Female,31,Patna,Bihar,Retail,2024-12-31,Verified
C0069,Kavya Khan,Female,52,Nagpur,Maharashtra,Retail,2025-11-05,Verified
C0070,Rohan Reddy,Male,41,Delhi,Delhi,Premium,2023-10-07,Verified
C0071,Vikram Nair,Male,25,Chennai,Tamil Nadu,Retail,2022-05-26,Verified
C0072,Meera Gupta,Female,45,Jaipur,Rajasthan,Retail,2024-09-16,Verified
C0073,Saurabh Patel,Male,47,Kolkata,West Bengal,Retail,2024-05-16,Verified
C0074,Nikhil Iyer,Male,63,Hyderabad,Telangana,Retail,2023-10-08,Verified
C0075,Anjali Reddy,Female,46,Patna,Bihar,Retail,2020-04-20,Verified
C0076,Amit Singh,Male,37,Ahmedabad,Gujarat,Retail,2020-07-24,Verified
C0077,Aisha Iyer,Female,38,Kolkata,West Bengal,Retail,2024-04-01,Verified
C0078,Pooja Verma,Female,35,Kolkata,West Bengal,Retail,2023-12-04,Verified
C0079,Rahul Sharma,Male,36,Chennai,Tamil Nadu,Retail,2021-09-16,Verified
C0080,Nikhil Singh,Male,70,Delhi,Delhi,Retail,2022-11-15,Verified
C0081,Anjali Mehta,Female,40,Lucknow,Uttar Pradesh,Corporate,2021-11-01,Verified
C0082,Saurabh Sharma,Male,46,Patna,Bihar,Retail,2024-03-17,Verified
C0083,Amit Mehta,Male,64,Indore,Madhya Pradesh,Premium,2023-05-20,Verified
C0084,Saurabh Sharma,Male,53,Pune,Maharashtra,Retail,2020-10-09,Verified
C0085,Priya Patel,Female,61,Bhopal,Madhya Pradesh,Retail,2024-01-23,Verified
C0086,Anjali Patel,Female,60,Bengaluru,Karnataka,Premium,2023-01-11,Pending
C0087,Kavya Patel,Female,26,Bhopal,Madhya Pradesh,Premium,2022-10-02,Verified
C0088,Kavya Iyer,Female,42,Nagpur,Maharashtra,Retail,2024-04-01,Verified
C0089,Nikhil Gupta,Male,42,Bengaluru,Karnataka,Retail,2022-11-24,Verified
C0090,Shreya Joshi,Female,26,Patna,Bihar,Retail,2022-02-21,Verified
C0091,Sandeep Reddy,Male,49,Jaipur,Rajasthan,Premium,2025-07-03,Verified
C0092,Amit Khan,Male,51,Chennai,Tamil Nadu,Retail,2024-02-20,Verified
C0093,Meera Joshi,Female,40,Jaipur,Rajasthan,Retail,2023-01-14,Verified
C0094,Sneha Verma,Female,33,Indore,Madhya Pradesh,Retail,2022-01-28,Verified
C0095,Nikhil Khan,Male,27,Indore,Madhya Pradesh,Retail,2023-03-05,Verified
C0096,Rohan Iyer,Male,29,Pune,Maharashtra,Retail,2025-12-27,Verified
C0097,Priya Sharma,Female,27,Jaipur,Rajasthan,Retail,2025-07-03,Pending
C0098,Saurabh Khan,Male,37,Kolkata,West Bengal,Retail,2020-07-29,Verified
C0099,Neha Verma,Female,30,Ahmedabad,Gujarat,Retail,2020-08-07,Verified
C0100,Saurabh Khan,Male,59,Delhi,Delhi,Corporate,2024-08-31,Verified
C0101,Manish Patel,Male,40,Kolkata,West Bengal,Corporate,2024-10-22,Verified
C0102,Saurabh Joshi,Male,37,Delhi,Delhi,Corporate,2022-05-14,Verified
C0103,Vikram Iyer,Male,49,Bengaluru,Karnataka,Retail,2024-07-31,Verified
C0104,Pooja Sharma,Female,25,Chennai,Tamil Nadu,Retail,2025-02-02,Verified
C0105,Rohan Singh,Male,28,Lucknow,Uttar Pradesh,Premium,2024-10-07,Pending
C0106,Vikram Khan,Male,59,Bhopal,Madhya Pradesh,Retail,2023-06-13,Verified
C0107,Kavya Verma,Female,53,Kolkata,West Bengal,Premium,2023-01-20,Verified
C0108,Kavya Verma,Female,59,Lucknow,Uttar Pradesh,Retail,2023-08-13,Verified
C0109,Priya Verma,Female,69,Chennai,Tamil Nadu,Corporate,2020-03-25,Verified
C0110,Shreya Sharma,Female,38,Nagpur,Maharashtra,Premium,2024-12-16,Verified
C0111,Saurabh Patel,Male,43,Kochi,Kerala,Premium,2025-04-09,Pending
C0112,Aisha Gupta,Female,65,Kochi,Kerala,Retail,2024-08-13,Verified
C0113,Pooja Singh,Female,26,Ahmedabad,Gujarat,Premium,2025-02-05,Verified
C0114,Pooja Gupta,Female,21,Delhi,Delhi,Corporate,2025-10-08,Verified
C0115,Meera Sharma,Female,61,Chennai,Tamil Nadu,Retail,2025-08-03,Verified
C0116,Priya Iyer,Female,65,Hyderabad,Telangana,Retail,2024-11-29,Pending
C0117,Neha Sharma,Female,40,Kochi,Kerala,Retail,2021-10-10,Verified
C0118,Manish Patel,Male,50,Delhi,Delhi,Retail,2021-04-09,Verified
C0119,Vikram Reddy,Male,47,Patna,Bihar,Premium,2023-01-24,Verified
C0120,Kavya Iyer,Female,68,Kolkata,West Bengal,Retail,2025-09-12,Verified
C0121,Amit Khan,Male,38,Nagpur,Maharashtra,Premium,2025-09-10,Verified
C0122,Rohan Joshi,Male,30,Hyderabad,Telangana,Premium,2025-06-28,Verified
C0123,Ritika Reddy,Female,50,Pune,Maharashtra,Retail,2024-03-25,Verified
C0124,Sneha Joshi,Female,23,Chennai,Tamil Nadu,Retail,2024-08-09,Verified
C0125,Kavya Joshi,Female,52,Patna,Bihar,Premium,2021-09-15,Verified
