Investment_ID,Investor_Name,Investment_Type,Investment_Amount,Investment_Date,Maturity_Date,Risk_Category,Return_Rate,Broker,Status
100000,David,Mutual Funds,43894.15,2023-08-02,2029-09-27,High,10.85,BrokerD,Active
100001,Eve,Real Estate,82033.47,2020-08-16,2028-02-23,Medium,4.79,BrokerA,Active
100002,Charlie,Crypto,84403.46,2020-02-21,2029-04-21,High,14.08,BrokerA,Pending
100003,Eve,Crypto,36558.15,2024-02-27,2029-08-04,Medium,2.92,BrokerD,Pending
100004,Eve,Crypto,70893.72,2021-07-17,2028-06-27,Low,5.12,BrokerD,Pending
100005,Bob,Mutual Funds,78256.67,2021-05-16,2028-06-10,High,8.52,BrokerA,Closed
100006,Charlie,Real Estate,67191.82,2021-04-02,2028-10-14,Medium,9.14,BrokerD,Pending
100007,Charlie,Bonds,19401.53,2020-10-12,2028-08-09,Low,1.71,BrokerD,Pending
100008,Charlie,Bonds,88208.89,2024-02-17,2028-02-15,Low,12.04,BrokerB,Closed
100009,Eve,Mutual Funds,56213.98,2020-07-28,2025-02-23,High,6.38,BrokerD,Closed
100010,David,Crypto,31834.88,2023-10-17,2028-06-01,Low,6.99,BrokerC,Active
100011,Charlie,Stocks,45396.68,2024-02-25,2028-09-09,Medium,12.43,BrokerB,Closed
100012,Fay,Mutual Funds,8569.25,2023-01-21,2029-08-26,Low,6.62,BrokerC,Closed
100013,Eve,Mutual Funds,17147.35,2020-06-27,2028-11-21,Low,2.14,BrokerD,Pending
100014,Bob,Real Estate,77726.94,2023-04-24,2026-07-02,Medium,3.88,BrokerA,Active
100015,David,Bonds,5001.11,2022-05-14,2025-03-01,Low,14.4,BrokerB,Active
100016,Fay,Mutual Funds,44573.75,2020-03-06,2026-01-05,Low,2.45,BrokerA,Closed
100017,Fay,Mutual Funds,54638.47,2020-03-02,2026-07-14,Low,6.29,BrokerB,Pending
100018,Bob,Crypto,10190.27,2020-07-10,2028-12-10,Low,8.29,BrokerA,Pending
100019,David,Crypto,97442.43,2021-03-23,2029-04-11,Medium,8.16,BrokerB,Pending
100020,Eve,Stocks,26481.91,2021-04-21,2026-09-25,Low,1.55,BrokerB,Pending
100021,Alice,Real Estate,33898.88,2022-10-31,2026-11-27,Medium,8.27,BrokerC,Closed
100022,David,Stocks,33874.54,2023-05-17,2026-12-20,Low,6.68,BrokerA,Pending
100023,Bob,Crypto,26889.58,2020-02-24,2025-01-13,Low,14.62,BrokerC,Active
100024,Fay,Bonds,5140.01,2023-02-23,2026-01-07,Low,3.65,BrokerC,Active
100025,Eve,Crypto,74287.76,2021-02-11,2029-11-17,Low,6.28,BrokerA,Closed
100026,David,Real Estate,96850.32,2024-01-06,2025-10-21,Medium,7.16,BrokerB,Pending
100027,Alice,Crypto,26307.88,2023-08-23,2028-03-05,Medium,6.77,BrokerC,Pending
100028,Alice,Real Estate,67989.48,2023-12-07,2028-09-08,Medium,10.49,BrokerA,Pending
100029,Charlie,Real Estate,75480.15,2023-01-21,2027-04-01,High,4.41,BrokerB,Pending
100030,Charlie,Real Estate,85600.41,2022-05-09,2025-05-23,Low,4.48,BrokerC,Closed
100031,Bob,Real Estate,45149.77,2021-03-27,2025-10-18,Low,11.34,BrokerC,Pending
100032,David,Real Estate,33778.44,2022-07-08,2029-02-26,Medium,8.25,BrokerC,Closed
100033,David,Bonds,35903.04,2023-04-21,2028-07-20,High,7.1,BrokerB,Pending
100034,Fay,Stocks,72699.03,2021-07-23,2025-03-04,Low,3.78,BrokerC,Pending
100035,Fay,Mutual Funds,82594.05,2024-07-15,2025-07-07,Medium,4.03,BrokerB,Active
100036,Fay,Stocks,22253.33,2024-11-15,2029-03-09,Low,1.64,BrokerD,Closed
100037,Charlie,Real Estate,40239.4,2020-01-14,2027-12-23,Low,2.73,BrokerC,Active
100038,David,Bonds,90684.32,2024-04-03,2026-03-17,Medium,9.02,BrokerD,Closed
100039,David,Crypto,81635.88,2024-07-08,2027-02-10,Medium,13.54,BrokerA,Pending
100040,Alice,Bonds,98561.55,2020-11-22,2027-05-10,Low,5.38,BrokerC,Pending
100041,Charlie,Real Estate,76653.58,2023-11-30,2027-07-19,Low,5.92,BrokerA,Closed
100042,Eve,Bonds,42353.54,2022-05-15,2026-11-30,Medium,3.06,BrokerA,Active
100043,Charlie,Bonds,61110.59,2021-11-27,2025-11-19,Low,6.75,BrokerA,Closed
100044,Eve,Real Estate,67796.35,2021-07-23,2027-01-28,Low,2.0,BrokerD,Closed
100045,Alice,Bonds,12453.3,2020-11-14,2026-10-01,Medium,13.89,BrokerB,Pending
100046,Bob,Mutual Funds,56727.21,2021-03-16,2029-01-17,Low,10.59,BrokerD,Active
100047,David,Mutual Funds,72385.48,2024-04-12,2026-10-27,Low,14.88,BrokerD,Closed
100048,Alice,Bonds,20895.52,2021-11-20,2029-05-10,High,13.42,BrokerA,Active
100049,David,Crypto,79160.01,2020-07-28,2028-03-08,Medium,7.89,BrokerC,Active
